Rank,Group/Affiliation,Fatalities,,,,
1,Islamic State of Iraq and the Levant (ISIL),"8,420",,,,
2,Boko Haram,"6,299",,,,
3,Taliban,"5,215",,,,
4,Al-Shabaab,"1,586",,,Unknown,6504
5,Huthis,"1,306",,,,
6,Donetsk People's Republic,597,,,,
7,Kurdistan Workers' Party (PKK),319,,,,
8,New People's Army (NPA),198,,,,
9,Palestinian Extremists,108,,,,
10,Maoists,92,,,,
